session,score,reason,passed
82 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information with the original text, such as mentioning 'Sosyal Ağ Sağlayıcısı Düzenlemesi' which is not present in the original text, and implying a more dynamic process than described, while also adding extra information not mentioned in the original text about TBMM's 82nd Session and discussions between government officials and parliamentarians.",False
81 . Birleşim,0.45454545454545453,"The score is 0.45 because the summarization task has some issues with accuracy and completeness. The summary contains contradicting information about the discussion of the 263 sıra sayılı Kanun Teklifi, which was ongoing according to the original text but not mentioned as being absent in the commission. Additionally, the summary mentions extra information not present in the original text, such as the meeting being held in Türkiye Büyük Millet Meclisinin (TBMM) and the second item on the agenda being the 250 sıra sayılı Kanun Teklifi. Furthermore, the summary does not answer a question that the original text can answer, which is whether it contains any information not present in the transcript.",True
80 . Birleşim,,Number of verdicts generated does not equal.,False
79 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information (it mentions kanun teklifleri which is not mentioned in the original text) and extra information not present in the original text, indicating a complete lack of accuracy.",False
78 . Birleşim,0.0,"The score is 0.00 because the summary directly contradicts the original text on multiple points, indicating a complete lack of accuracy and relevance.",False
77 . Birleşim,0.4,"The score is 0.40 because the summarization task has some issues with accuracy and completeness. The original text states that two discussions were postponed, but the summary does not mention this crucial information. Additionally, the extra information provided in the summary is not mentioned in the original text at all, which suggests a lack of attention to detail. However, it's worth noting that the summarization task did manage to capture some key points from the original text, even if they were not entirely accurate or comprehensive.",True
76 . Birleşim,0.5,"The score is 0.50 because the summary contains contradictory information regarding the discussion of law proposals, indicating a lack of accuracy. Additionally, it includes extra information about the importance of summarizing parliamentary session minutes, which is not mentioned in the original text.",True
75 . Birleşim,0.4,"The score is 0.40 because the summary contains contradicting information (meeting date) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
74 . Birleşim,0.42857142857142855,"The score is 0.43 because the summary contains contradictory information regarding the session name, which may indicate some inaccuracy. Additionally, the summary includes extra information not present in the original text, such as the parliament document being an alıntı (quote) and the content of the document, which suggests a lack of precision in summarization.",True
73 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradictory information (names and parties of attendees) and extra information (number of sessions) not present in the original text, indicating a moderate level of accuracy.",True
72 . Birleşim,0.16666666666666666,"The score is 0.17 because the summary contains significant contradictions with the original text, including incorrect statements about who opened and closed the meeting, as well as an unspecified date for closure. Additionally, the summary includes extra information not mentioned in the original text, such as the agenda and history of the Turkish Grand National Assembly, which suggests a lack of fidelity to the source material.",False
71 . Birleşim,0.16666666666666666,"The score is 0.17 because the summary contains direct contradictions with the original text and includes extra information not mentioned in the original text, indicating a low level of accuracy and relevance.",False
70 . Birleşim,0.0,"The score is 0.00 because there is no information mentioned in the original text that contradicts the summary, and the extra information provided in the summary is not present in the original text. Additionally, the questions that the original text can answer but not the summary are relevant to action items or next steps, which are typically discussed in a meeting context, implying that the summary lacks this crucial detail.",False
69 . Birleşim,0.2,"The score is 0.20 because the summary contains contradictory information to the original text (mentioning a US-Israel-Iran war and inviting specific officials to attend the General Assembly) and extra information not mentioned in the original text, indicating a lack of accuracy and completeness.",False
68 . Birleşim,0.0,The score is 0.00 because the summary contains extra information not mentioned in the original text and contradicts the original text with no clear evidence to support its claims.,False
67 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information (list of unrelated topics) and extra information not mentioned in the original text (number of people involved), indicating a complete failure to accurately summarize the content.",False
66 . Birleşim,0.5,"The score is 0.50 because there is some discrepancy between the original text and the summary, as evidenced by extra information not mentioned in the original text, but no explicit contradictions or unanswered questions that would significantly impact the score.",True
65 . Birleşim,0.375,"The score is 0.38 because the summary contains contradicting information from the original text (e.g., location of OECD's Istanbul Center and protocol approval) and extra information not mentioned in the original text (e.g., Konusma, contents list, specific initiatives). The summary also fails to address action items or next steps discussed in the original text.",True
64 . Birleşim,0.25,"The score is 0.25 because the summary directly contradicts the original text by stating that the proposed changes were proposed by Türkiye Büyük Millet Meclisi Komisyonu, which is not mentioned in the original text. Additionally, the summary includes extra information about the outcome of the voting and action items, which are not present in the original text.",False
63 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary introduces unrelated information (a country's policies at an international climate conference) that contradicts the original text, which only discusses speeches emphasizing following one's own policies. Additionally, the summary fails to mention the actual topic of the meeting mentioned in the original text.",True
62 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information (the meeting being a Turkish parliament session) and extra information not mentioned in the original text, indicating a lack of accuracy and relevance to the actual content.",False
61 . Birleşim,0.5,"The score is 0.50 because the summary contains some contradictions with the original text (purpose of the 230 sıra sayılı Kanun Teklifi) and extra information not mentioned in the original text (date and time of the next meeting). However, it also shows some accuracy in describing meclis oturumları as an indicator of TBMM's work process.",True
60 . Birleşim,0.5,"The score is 0.50 because there is some extra information in the summary that was not mentioned in the original text, specifically about the Turkish Grand National Assembly's 7th Union meeting and related legislation. Additionally, the summary does not address questions that the original text can answer, such as whether action items or next steps were discussed.",True
59 . Birleşim,0.25,"The score is 0.25 because the summary contains contradicting information (time is included) that is not explicitly stated in the original text, and extra information (content of the summary claim and identity of the meeting chairman) that is not mentioned at all in the original text.",False
58 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradicting information (Mehmet Salih Ünal and Selçuk Özdağ's roles) not present in the original text, includes extra information (meeting content and purpose) not mentioned in the original text, and fails to answer questions that the original text can address (action items or next steps).",True
57 . Birleşim,0.2857142857142857,"The score is 0.29 because the summary contains multiple contradictions with the original text, including incorrect statements about the speech's context and parliament members' expressions of support and opposition. Additionally, the summary includes extra information not mentioned in the original text, such as the speaker's name and specific points discussed during the meeting.",False
56 . Birleşim,0.25,"The score is 0.25 because the summary contains contradicting information (the law proposal was not explicitly stated as being proposed by 143 milletvekilinin) and extra information not mentioned in the original text, indicating a lack of accuracy and completeness.",False
55 . Birleşim,0.0,"The score is 0.00 because the summary contains multiple contradictions with the original text, including direct quotes and specific events that are not mentioned or are inaccurately described in the original text.",False
54 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradicting information (meeting concluded with an announcement to reconvene on 3rd February 2026 at 15:00) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
53 . Birleşim,0.0,"The score is 0.00 because the summary contains multiple contradictions with the original text, including a significant error in the meeting date and time, and an incorrect representation of discussions involving Can Atalay's participation in parliamentary activities.",False
52 . Birleşim,0.4,"The score is 0.40 because the summary contains contradicting information (meeting opened by Bekir BozdaÄŸ instead of BaÅŸkan Vekili Bekir BOZDAÐ) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
51 . Birleşim,0.0,"The score is 0.00 because the summary contains multiple contradictions with the original text: Bekir Bozdağ was incorrectly stated as opening the meeting instead of closing it, and convening again on January 27th at 15:00 to discuss legislative proposals and other matters was mentioned despite not being in the original text.",False
50 . Birleşim,0.36363636363636365,"The score is 0.36 because the summary contains contradictory information (e.g., number of votes, proposal's status) and extra information not mentioned in the original text (e.g., date of meeting), indicating a moderate level of accuracy.",True
49 . Birleşim,,RetryError[<Future at 0x7e8325878e30 state=finished raised TimeoutError>],False
48 . Birleşim,0.0,"The score is 0.00 because the summary directly contradicts the original text by mentioning two specific milletvekillers making speeches, which is not supported by the evidence. Additionally, the summary introduces extra information about a Meclis oturumu that is not mentioned in the original text.",False
47 . Birleşim,0.2,"The score is 0.20 because the summary contains a significant contradiction with the original text regarding Einstein's Nobel Prize year (1969 vs 1968), indicating a lack of accuracy and attention to detail, while also introducing extraneous information about Barack Obama, Zurich, and Einstein's profession/nationality that are not present in the original text.",False
46 . Birleşim,0.0,"The score is 0.00 because the summary contradicts the original text by omitting a crucial detail about integrating solar and nuclear energy, while also introducing unrelated information about TBMM's Eighth Session details and private sector's role in capital markets.",False
45 . Birleşim,0.3,The score is 0.30 because the summary contains contradicting information with the original text and includes extra information not mentioned in it.,True
44 . Birleşim,0.42857142857142855,"The score is 0.43 because the summary contains contradictory information about the reason for CHP's opposition to the law proposal and extra information not mentioned in the original text, such as discussion of traffic fines and Gülcan Kılıç's party stance.",True
43 . Birleşim,0.0,"The score is 0.00 because the summary contains contradictory information with the original text regarding the decision to close the session, and also includes extra information not mentioned in the original text such as the opening of the session by the Deputy Chairman and a proposal from HDP/DEHAP group. Additionally, the summary fails to answer questions that can be answered by the original text.",False
42 . Birleşim,0.2857142857142857,"The score is 0.29 because the summary contains multiple contradictions with the original text, including incorrect statements about TBMM's work and the voting process. Additionally, the summary includes extra information not mentioned in the original text, such as discussing a law proposal related to the United Nations Convention on the Law of the Sea, which was not present in the agenda. Furthermore, the summary fails to answer questions that the original text can address, specifically regarding action items or next steps.",False
41 . Birleşim,0.25,"The score is 0.25 because the summary incorrectly states that milletvekilleri (deputies) vote on the bill, which contradicts the original text. Additionally, the summary includes extra information not mentioned in the original text about the content of the legislative proposal and its discussion process.",False
40 . Birleşim,0.5,"The score is 0.50 because the summary partially captures the main points of the original text, but introduces contradictory information regarding law proposals and their implementation status, indicating a moderate level of accuracy.",True
39 . Birleşim,,RetryError[<Future at 0x7e832632f920 state=finished raised TimeoutError>],False
38 . Birleşim,0.6666666666666666,"The score is 0.67 because the summary accurately captures the main points from the original text without introducing any significant contradictions or extra information not mentioned in the original text. However, there are some minor discrepancies that could be improved upon to increase the score.",True
37 . Birleşim,0.13333333333333333,"The score is 0.13 because the summary contains multiple contradictions with the original text and extra information not mentioned in it, indicating a low level of accuracy and relevance to the original content.",False
36 . Birleşim,0.25,"The score is 0.25 because the summary contains contradicting information (the Minister discussed budget proposal and responded to questions from opposition) not present in the original text, which only mentions discussing data related to Turkey's financial situation in 2026.",False
35 . Birleşim,0.2857142857142857,"The score is 0.29 because the summary contains contradicting information and extra details not mentioned in the original text, indicating a lack of accuracy and completeness.",False
34 . Birleşim,0.6666666666666666,"The score is 0.67 because there are no contradictions in the original text and extra information not mentioned in the original text, but it's worth noting that the summary does not explicitly address all visual details as per the multimodal input rules.",True
33 . Birleşim,0.26666666666666666,"The score is 0.27 because the summary contains multiple contradictions with the original text, including incorrect budgets for various institutions, and also includes extra information not mentioned in the original text, such as specific dates and budgets for other institutions.",False
32 . Birleşim,0.16666666666666666,"The score is 0.17 because the summary contains multiple contradictions with the original text (e.g., mentioning Zurich being a city in London, Einstein winning the Nobel Prize in 1969) and introduces extra information not mentioned in the original text (e.g., claims about Barack Obama, Einstein's profession as a German chef).",False
31 . Birleşim,0.75,"The score is 0.75 because the summary accurately captures the main points from the original text but also includes extra information that was not present in the original text, specifically about the 5th tur, which indicates a good understanding of the content but some minor inaccuracies.",True
30 . Birleşim,0.2,"The score is 0.20 because the summary contains significant contradictions with the original text, including incorrect locations and professions, and also introduces extra information not mentioned in the original text, such as Barack Obama's mention and an incorrect year for Einstein's Nobel Prize award.",False
29 . Birleşim,0.5,"The score is 0.50 because the summary contains contradictory information about the number of public administrations participating in the third round, which deviates from the original text's specific mentions. Additionally, the summary introduces extra information not present in the original text, specifically mentioning the discussion of budgets and final accounts in the third round.",True
28 . Birleşim,0.0,"The score is 0.00 because there is no information to contradict from the original text and extra information mentioned in the summary includes a statement that is not present in the original text, indicating a lack of accuracy and relevance.",False
27 . Birleşim,0.0,"The score is 0.00 because the summary contains contradictory information (claiming a specific date that doesn't exist) and extra information not mentioned in the original text (Einstein, Obama, Zurich, London), indicating a lack of accuracy and relevance to the actual content.",False
26 . Birleşim,0.0,"The score is 0.00 because there is no information from the original text to compare with, and the extra information provided in the summary contradicts the expected format of a summary, which should only include factual evidence and not infer or guess details.",False
25 . Birleşim,0.2,"The score is 0.20 because the summary contains contradicting information (e.g., 'görüşmek üzere' implies a different context) and extra information not mentioned in the original text (e.g., year of the session, Umut Akdoðan's speech), indicating a lack of accuracy and completeness.",False
24 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains multiple contradictions with the original text, including incorrect numbers of signatures and proposals, as well as an incorrect sequence of events. Additionally, the summary includes extra information not mentioned in the original text, such as the time of the meeting and the content of the proposal, which may indicate a lack of focus on accurately summarizing the key points.",True
23 . Birleşim,0.16666666666666666,"The score is 0.17 because the summary contains multiple contradictions with the original text, including claims about 'sağlık hizmetlerini piyasalaştırmak' and 'hekim emeğini değersizleştirmek', as well as extra information not mentioned in the original text such as Türkiye Büyük Millet Meclisinin 23'üncü Birleşiminin Dördüncü Oturumu. Additionally, the summary does not reflect any action items or next steps discussed in the original text.",False
22 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradicting information (work being done in order vs out of turn) and extra information not mentioned in the original text (relation to Turkish parliament), indicating a lack of accuracy and completeness.",True
21 . Birleşim,0.5,"The score is 0.50 because the summary introduces extra information not present in the original text, specifically mentioning 'a kanun teklifi' which is not mentioned at all.",True
20 . Birleşim,0.25,"The score is 0.25 because the summary contains contradicting information (criticizing a tax exemption proposal) that is not present in the original text, and extra information (Erhan Usta and kentsel dönüşüm başkanlığı for borçlanma yetkisi) that is not mentioned at all. Additionally, the summary does not provide any action items or next steps discussed in the original text.",False
19 . Birleşim,0.4,"The score is 0.40 because the summary contains contradicting information (the original text does not mention any discussion or event related to the information it contains) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
18 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradicting information (the toplantı yeter sayısı number) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
17 . Birleşim,0.25,"The score is 0.25 because the summary contains contradictory information about the meeting's opening and adjournment times, indicating a lack of accuracy compared to the original text.",False
16 . Birleşim,0.0,"The score is 0.00 because the summary contains multiple contradictions with the original text, including incorrect claims about greetings and voting processes, as well as extra information not mentioned in the original text, such as topics related to RTÜK membership selection. Additionally, the summary fails to address questions that can be answered by the original text, specifically regarding action items or next steps.",False
15 . Birleşim,0.5,"The score is 0.50 because the summary contains contradictory information (CHP Grubu önerisi claim) and extra information not mentioned in the original text (session closure reason), but does not provide action items or next steps, which are present in the original text.",True
14 . Birleşim,0.25,"The score is 0.25 because the summary contains contradicting information not present in the original text, such as TBMM'nin toplantısının kapanışını belirtmektedir (the closing of the TBMM meeting), and includes extra information not mentioned in the original text, including claims about the content of the meeting and focusing on preserving Turkey's historical and cultural heritage. The summary also fails to accurately represent the original text.",False
13 . Birleşim,0.375,"The score is 0.38 because the summary contains contradicting information (e.g., quota imposed due to price increase) and extra information not mentioned in the original text (e.g., origin of the text), indicating a moderate level of accuracy.",True
12 . Birleşim,0.42857142857142855,"The score is 0.43 because the summary contains contradictory information (DEP's role and tutanaklar date) and extra information not mentioned in the original text, indicating some inaccuracies and omissions.",True
11 . Birleşim,0.5,"The score is 0.50 because the summary does not accurately reflect all details of the original text and introduces extra information about the meeting's topic, which is not mentioned in the original text.",True
10 . Birleşim,0.06666666666666667,"The score is 0.07 because the summary contains multiple contradictions with the original text, including incorrect dates for Einstein's Nobel Prize and an entirely false profession, while also introducing extraneous information not present in the original text.",False
9 . Birleşim,0.14285714285714285,"The score is 0.14 because the summary contains multiple contradictions with the original text, including claims about AK Parti iktidarının emeklilere yaptıkları değişikliklerle adaletsizlikler and kademeli emeklilik derhal uygulamaya konulmasını, among others. Additionally, the summary includes extra information not mentioned in the original text, such as Meclis conversations and emekli maaþları content. Furthermore, the summary fails to address questions that can be answered by the original text, specifically regarding action items or next steps discussed.",False
8 . Birleşim,0.0,"The score is 0.00 because the summary contains multiple contradictions with the original text, including incorrect claims about speed limits and existing laws, as well as extra information not mentioned in the original text, such as the number of traffic accident victims in 2024.",False
7 . Birleşim,0.2,"The score is 0.20 because the summary contains significant contradictions with the original text, including a date and time discrepancy for the meeting and an incorrect list of topics to be discussed. Additionally, the summary includes extra information not mentioned in the original text, such as details about TBMM's Yedinci Oturumunun açılışı and gündemindeki konuları, which cannot be confirmed as accurate.",False
6 . Birleşim,0.25,"The score is 0.25 because the summary contains significant contradictions with the original text, including claims about cezaevleri ile ilgili sorunlar and idarenin cezaevlerindeki sorunlara yönelik alaycı bir tutum aldığını that are not mentioned at all in the original text.",False
5 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information (specific agreements mentioned) and extra information not present in the original text (contents of tutanak), indicating a lack of accuracy and completeness.",False
4 . Birleşim,0.5,"The score is 0.50 because the summary contains contradicting information (the first tezkere being about Filistin halkının yaşadığı trajedi) and extra information not mentioned in the original text (Israel yönetiminin insanlık suçu işlediği), but does not contain any questions that the original text cannot answer.",True
3 . Birleşim,0.1111111111111111,"The score is 0.11 because the summary contains multiple contradictions with the original text and extra information not mentioned in the original text, indicating a poor summarization quality.",False
2 . Birleşim,0.125,"The score is 0.12 because the summary contains significant contradictions with the original text, including incorrect information about leaders and participants of the meeting, as well as extra information not mentioned in the original text, such as TBMM's meeting agenda and Sunay Karamýk's speech. Additionally, the summary fails to answer questions that can be answered by the original text, specifically regarding action items or next steps discussed during the meeting.",False
1 . Birleşim,0.42857142857142855,"The score is 0.43 because the summary contains contradictory information (President Erdoğan's belief on a new constitution and denaturation topics) compared to the original text, indicating some inaccuracies. Additionally, it includes extra information not mentioned in the original text (economic and political developments of Turkey), which may indicate a lack of focus or relevance. However, the summary does attempt to capture the main points of the speech, including President Erdoğan's belief on a new constitution and prioritization of tasks.",True
